Rank,Bib,LastName,FirstName,Team,Nationality,Category,PositionInCategory,PositionInGenre,OfficialTime,Delay
20,33,b27496c38346efccb36b4b4f9d47a21515c54edd1105b2fb9de659dd,775eff0a07b05397471d2fcb951baacbcc4440b198f1f3cdce14f4e3,1fd178db7a681c9f180ab056c7b2aa6f1676e22a178a43fc2aef1aa2,ita,SM,12,20,2:44:34,+20:34
21,31,6a8ac9ead295493873a96f936b988c604194c5797066af1c49c701ae,01070093e4dd29fff189e0a5ea5125e3f0c14cbce3c44f757c37c835,9bced3faa2557c18b2f8aa4b8736e1ca0eaa9fbcfe6f124de9621926,ita,SM35,4,21,2:44:45,+20:45
22,28,ad3901a6770dea7821ccd500b8e9a391a3029a40e16180502fa041b2,8e722006dd18ba0e8592731b905bcbf91305bd305588a14936a2c1ed,5ab16ddcdfd3f02e61847012b9747d47788da944b1f9f5dfedb7c479,ita,SM,13,22,2:44:49,+20:49
23,20,56cd9555d9acca4498b02208193d84fc37438b4433ce5a2f57b184f0,5945ed1183e3524463b7276eff7f9422de1ae9cd2820f9122bcb2756,3f61880132d07c9e2b51211319aaeda7a3aa139180365ff336ba5c36,ita,SM,14,23,2:44:56,+20:56
24,26,58e20b85c7bd4de707f7ecebb06082a03ea44135cc1d00bf12ddd441,94a2c370297aaf10f929dc6e99845a07f03c5ebf92dd049c0e923ee2,2ab06034ca1b09e8deec15a4f151765270395c5885ad784b63217d51,ita,SM35,5,24,2:45:00,+21:00
25,1416,8576536c6e27becaf7ceb2040f96a05e5faf483705315ed275f0829c,d4bf3293b07767c458c65379e034a5b5d6baeec0bd04ffad779951f6,0294dfbe27276fbb59718737ec65dbb0a04296f4b1111a7caca064d5,ita,SM45,2,25,2:45:31,+21:31
26,51,18f0acd4b82d363f24de96e6e439aaae34c92321590fd5e729d756df,c5d3d65b8bade7f528975c4e6591f8206e0d463d6cffc35e6a418024,d4aff015d012ea3dfdec57bca3488abfd04b6ec1c1448fefb87c0892,ita,SM35,6,26,2:45:36,+21:37
27,134,7f6daf962e281b44413e0f741ee3d7aa081a52064b2d68fc574016fe,c5d3d65b8bade7f528975c4e6591f8206e0d463d6cffc35e6a418024,a4dd46f05945a2726c42df6328bc05517d1521f30dd2e6db3646fc2c,ita,SM40,4,27,2:46:00,+22:00
28,1295,e34176ead35cf5fd2b29d33099e6dbecea4bfdfcd971bf1028f6c7d2,569d8110ccb9a55ef0a69e0d6fc0836b89637026f427c2a7f9ce6a26,b7774af5f562355065ec82daf311d3d8a19961a0a9aea3a41786b4cb,ita,SM40,5,28,2:46:03,+22:03
29,2,8eaca797ee151ef79addb9055d9c460b35206ae83642fd9c06118643,e2ca5f54475654ac2d142dede6c983b901ad15714a10c868b287473b,a9f8d53736926762d881e34ba4c87dde3d0ad87f6efd1697b2fe0296,ita,SM40,6,29,2:46:29,+22:29
30,27,d5109b4792ec4d59cc5c842be9d71a4e975b05fde9793df9a31fe1da,8244bbd2f68e803828ad1fffbdebff244abefee36dfdb6b692ce7513,483e9ef8dd73b9f70d0e2a29fc16223a3b30f33ef935db8d4d409b9b,fra,SM35,7,30,2:46:48,+22:49
31,22,d682837172655e3a46d018ed3f2660b2895a30c1415e8a3cbb9ff91f,02e01870b843214d2b9744bb463fbabe4eb53b4eee76db5ed11f97ed,4c949f8009ad0ea6955b2f737ac675f69ad9dba3222197b1b7979d15,ita,SM45,3,31,2:47:07,+23:07
32,1316,503dbdeb195cb0eb25e56a4517e006ccd2b51828c981b67bf149bf70,8183c56ecd92c8917821197a554e5812189b222ee00cb9b3c006557d,8aae9ddc35a81d253db0b5f1840cf49fe9b4a36fcd6ede4fc69aaddd,ita,SM,15,32,2:47:08,+23:08
33,1224,e9109a808d91ac622d7df5eda68d3574ae267b29e312a7b780934d48,e95677c64f2e6fdb14cbbb52d5ed4de6c121ff90027130e9e29919cb,682822344b5a5ae0be0d480981bf054603bd38474e2a01919a000978,ita,SF,1,1,2:47:10,+23:10
34,41,178c0b8ab3fafcf7740e8bcf5e31cc0d55c51dea70cf647562a8a391,4a5e608b86377d071083f522c235d0d1feb1b0237871a611ba5d412c,fcbeaec3899fdd638fe1fbaedb4c7e416f253f2a4f5c75666e11082e,ita,SM40,7,33,2:47:21,+23:21
35,60,e8f9bcaf9a3d1a7107e45070bd5c09cebb643b093c5367b7deddff7b,caeebf3649dd2c2a5d479bdd47a3d9d067c97df42ffa00bae89dd124,2a340763628858ab4e1f1324edecebd85a9e28af460bf811ed099137,ita,SM,16,34,2:47:38,+23:38
36,83,2418472690f925fac0ba8e1efb77ee0ec81d63509d2b6610c40c4a1f,d887599ce44249ce921295ebbd0a5d3f9548ec20d59af626049e8c49,d4aff015d012ea3dfdec57bca3488abfd04b6ec1c1448fefb87c0892,ita,SM45,4,35,2:48:27,+24:27
37,1541,e096f92aba57fbe615635ee672cc5a27e1c86f2affb71991580289f7,caeebf3649dd2c2a5d479bdd47a3d9d067c97df42ffa00bae89dd124,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,ita,SM35,8,36,2:48:44,+24:44
38,136,7f43e5c7476187f0abcba97d3a07cb33b893cf0c0e3bdb12d68f115d,b3f43549d00c63f4ba9a56a8e9eac65bcb0ed4dd19e57617b1277652,27ba1d224a3f3ddfb28ac58c388c5d07087a9416bb1d5932316d33d5,gbr,SM35,9,37,2:48:48,+24:48
39,59,a7a32cc43ef5a0766b8602a54a84a6ee35252763d3aa55099c60a3c1,b6e2299bf8291db4442a05e76b0d9a69da7bf22d67e94eccdf287eab,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,ltu,SM,17,38,2:48:49,+24:49
40,49,ee4d6679861cb74e19d75cf135b04d1e645539f2250824a9595345d1,9c14227a46cd9bd4fcecc4336122308b124817a2b090f848127fc5ea,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,ita,SM,18,39,2:48:54,+24:54
41,47,e56728f70b72eab0294461fcf6edb9081935c5bb73b0bd16e3e15260,569d8110ccb9a55ef0a69e0d6fc0836b89637026f427c2a7f9ce6a26,8ab63564037fb786a7738955816be3d1b2b2c87859484a6f6d32b864,ita,SM40,8,40,2:49:09,+25:09
42,53,2f287b3e21f8d7023bb0088612917ba3c55008e9da8a597b9f8fbd43,1378ee53396e9af75d6461bbec3ef56375b1ceeb443c583d4f9e7517,592d3e263d521d87416540ac915b9f0fa70b07c08d533c2b146f301b,fra,SM45,5,41,2:49:12,+25:12
43,314,58f9ec3f2dc2ef102b6ddf36379c925fa52e9a4fc66c204eec951d34,f4eb522b5b9421a98e6386a4712ada14908c4cc9d0e4f1080f216f3d,1543c7461ee2665f91b3047f8bd7a86086ff9ff826eaed6c66257942,ita,SM,19,42,2:49:13,+25:13
44,32,b544a94ded0ceedab342ba0917623c1d1d11f973273aba2e37b2a57c,d887599ce44249ce921295ebbd0a5d3f9548ec20d59af626049e8c49,3f61880132d07c9e2b51211319aaeda7a3aa139180365ff336ba5c36,ita,SM35,10,43,2:49:17,+25:17
45,519,2418472690f925fac0ba8e1efb77ee0ec81d63509d2b6610c40c4a1f,4548376649d53baab338e043f30d638ae4ac1ef0b9547e34d9ae29c9,c575193862e2aae4461267ac2412f8e3fb3fe72364db9123452539df,ita,SM,20,44,2:49:24,+25:24
46,57,fe08351038435ffc244def2bf16d8121c537dcde790f2361d8e3ecce,475e5c8ec87292f9f8b95486610c216149247d45ed5aa6fd818ab0f9,1a7abc48475a4c19b07adf3bfee0430d825217dc7d1887cf3fd317b4,ita,SM35,11,45,2:49:53,+25:53
47,1002,bae0cd1ba4914c3a9cb94d76763b50b02d34aaece2c2465d5cb6ed53,1b6e8bf1ccf1df83ee9b5e2522daeac84ff75cc521634ea02136c730,aebe928ad8bb5d03dba3919c0406094ce4db75688fe333fd85e9c1d9,ita,SF45,1,2,2:50:29,+26:29
48,30,d6e3e29381fbeb34a2faf31be688778131a0134a992f890401aaf8e4,6dba5ec6f1da92ab64c7e847ff9603a67304c9ee6adce942b953fb24,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,gbr,SM40,9,46,2:51:08,+27:08
49,1004,f02d0f15e4cbc73e9ca49234513093209224da6e4c3363d5e362f664,b660349761ae992d21382be07db65609415112e481ddbe6a29805a86,fcb263a412f5da1c0912227dceb0524baf67ef0e3154ecbc950be87f,ita,SF45,2,3,2:51:20,+27:20
50,65,780756d5f3e01dc2396ce53c842d9b75eec89e2b0018af1e0e415f5a,3f8cd2f562d65398f09554de3a0abd589ddd6f047ed7283eaa0b4eb2,880bbdf0ce1876998d55e9188141856203b25985ee16e1bc0a42e78b,ita,SM40,10,47,2:51:55,+27:55
51,73,d802c1c61d957d61899f4bf4386993f282b8832093dd18e17f864bc7,fef6e4d20c53e549f4e51936f5c2521c6a3e629bdaacd3bafd07feaf,761a72746d9adf79b8e86229ab0dc6cc1ceecf3fdd317256ba6c27db,ita,SM40,11,48,2:51:56,+27:56
52,10,098ead17d285fba90d568a0ea7c53e055d25689689f44d87310f142f,775eff0a07b05397471d2fcb951baacbcc4440b198f1f3cdce14f4e3,2abb207a399d51075eebfd1e9631b43f0ac923050fb496784b744266,ita,SM40,12,49,2:52:24,+28:24
53,1636,0ac0aee1f08b45cf6b4a806cfaef1a3115e7acc47c68ffd6c52cfd0b,a929f63639ce4b021fa6c55acb4e4d9d4967504109211f2b3603f3ed,54372662154923a4190398973ee197dce2e38855cd91ff78a9d9ce31,ger,SM50,2,50,2:52:30,+28:30
54,77,9ba17262f057f66ea7ea92b4efeff052bd8a220229a2fe9d1fa2caf1,d465b548eed64c7bdf64c626b9529563cd94a74ae754c20a5ad50ad4,2675e29f7e3f788daf97c945b23ebeaf4fad364b7478419c217c1fcf,ger,SM50,3,51,2:52:33,+28:33
55,15,432048e96296b5976bda2c4934f0b3a62fe01f19a24216309017926a,9c14227a46cd9bd4fcecc4336122308b124817a2b090f848127fc5ea,4a657bb22ebbbc18fa914a6b7778931ce2611c73f82dee9826e6e3d5,ita,SM40,13,52,2:52:36,+28:36
56,1517,3b13230fc4d3b992cff31530a5489405974b49aefb99a05f6e1c3a92,520ad9c60e0881b50dc19474b73ef051e9f356635d250a21aedd699a,47153175a7c50304f6f9204ee38f48651e397e073325731a29e28270,ita,SM40,14,53,2:52:51,+28:51
57,52,8f746f5f97a2328617093955e40d43db8d5e7661bbf1c2b329befdca,4260bf19be6e27da2888ffdd9b4e9c384fbf9dfb48b395e922d6aa20,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,ita,SM35,12,54,2:53:01,+29:01
58,18,cb37ea2404cc6cb62456d8e4d9144f68e44ec0dddaf38897f99fd431,970ddffc49634d7ba8f4563ea4dd7747835802fc7c8f8f9b470051cd,c465960584aebc1e45a313e24a70b766a84968562c644bd6f4f7d7ce,gbr,SM40,15,55,2:53:03,+29:03
59,1538,52e0af4265a0725cfb27303aa99f31ec24018f433fbb2f1d0416f85d,e77e613af82697719f4b0e95e01e6deab9dfd7105f2edf2ffc983e93,252aae1bf6195487811378855c7c29ce282018caf7a572579c17ba71,gre,SM40,16,56,2:53:05,+29:05
60,147,224ff914eea2afce8d6a7fdc0c776f9145c5ca1821fc35207f922edd,8e722006dd18ba0e8592731b905bcbf91305bd305588a14936a2c1ed,1710372c1139cf45387e63659a07a4d7d7f3f8998cf84be9a611c121,ita,SM45,6,57,2:53:24,+29:24
61,104,130594ec8dd68a2415c6681ce5e32a661b69a9ab687ffef8c71d90c2,d0105c0ece462529a5f0b914d5417225fb95718d1a1cc5e5d85fcd08,0545d87a550815037a288e5e2a3c8d43b0a51eb739da8448072c3f05,ita,SM40,17,58,2:53:38,+29:38
62,1504,1a57b361ba1bb4aa53e142979fe9289ac93e4c90bdb49d90a9625dba,5945ed1183e3524463b7276eff7f9422de1ae9cd2820f9122bcb2756,4c9baa65800651e0862a85af1c208af1c1979eb9cfdc7c71b9b40698,ita,SM35,13,59,2:53:47,+29:47
63,35,cce279786df12b9332f75a2ad2a35d90486ef4b2038a745eaed86ccb,d71bacb61364d9a3e52c870b7ee98b5a15c151291c2b1b2b8f8640f1,ecb9181f603cd4346fbc65b1f7f62a373ffd442b42ed258521af985d,ita,SM40,18,60,2:53:52,+29:52
64,82,75fb2b95961368c15c4d9d9b7cdffe0d2ad1c9b218f9f7ea48337cc8,f0e81b9df312c6f5cdf470695ec833db14f43da3dd276ddbd7217267,a4362c00c80b80821d1a5dbc609a121c952a96dad898182cc6314236,ita,SM35,14,61,2:53:54,+29:54
65,46,e2bb67a3ae91ea45817e708d6ba5a94d8de5a19d03b9c20c3bc46775,9c4650472dff09db228cd7aaac3508ed15b9ff63095e58d2eec6ee4e,2abb207a399d51075eebfd1e9631b43f0ac923050fb496784b744266,ita,SM40,19,62,2:53:57,+29:57
66,64,49ecd20e8c3994c4d4334195511f72647b2c4e94c0f85e709126e878,007f22086262c1806644b0e01737877ca8bc3f991d9ddc8a20066f12,97893a88e06e9a9e9f17654d384b49249957afdb35018372ff37b7b2,ita,SM,21,63,2:54:03,+30:03
67,58,625507fca5f9e1746bc148f3b4c49c595c6ed4307b84fc680ad6c470,b30f8ad7d77b94410b09f56f9d217779ac4708df367db2d6b2874335,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,gre,SM50,4,64,2:54:11,+30:11
68,132,a0f56f0f6a876c7f07374e28beb8c277a0d8607f910e6ce6ef2a19c4,8e722006dd18ba0e8592731b905bcbf91305bd305588a14936a2c1ed,7e0f1ac2d9bbaafa35ad4e6deaf30b63673490a6d05b91f02c372648,ita,SM35,15,65,2:54:22,+30:22
69,1317,c78458e1e75309c74d28b7a798ed1ba317d93a90f1e475f0484b976b,607b620a62e4bdea29ee6921dddeed38bae8900d285b21f567247375,61ab8566c825aafa4359a7444e1cebb7486dfdea44f28661f67be405,ita,SM35,16,66,2:54:27,+30:27
70,70,3e878bfc33025e56742f04483159715b170fc2b61ca501943e2da369,3eaf5959779a4450d05fff19010be0a643916662902b3ea9ab99ba7e,5ab16ddcdfd3f02e61847012b9747d47788da944b1f9f5dfedb7c479,ita,SM45,7,67,2:54:55,+30:55
71,311,674608a48951b376a356dbdbb7dc4422f7ab11e52487c9f6ff30c37b,607b620a62e4bdea29ee6921dddeed38bae8900d285b21f567247375,b3e6ab079e45784d95f14e3c78ec20e8120707ad4ab060a2b9552643,ita,SM35,17,68,2:55:18,+31:19
72,45,bdf073968105fecf902af403f6a33c3f3f8ae4827e8803bc429d6824,d887599ce44249ce921295ebbd0a5d3f9548ec20d59af626049e8c49,4863b6e073df6df10741f0631e73837302f82872b3eec2dab2952e13,ita,SM,22,69,2:55:27,+31:27
73,123,8cbb4e923600c51a84ef93d3d21746574ee7bc2faf104a5dff9728bc,a4b27456702ae383d19e5817aeae46d0686875691aee49f1a3a6666e,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,fra,SM50,5,70,2:55:28,+31:28
74,154,8a9aea0912812e47b3d5a09beb180282ed1ca5e3bc40dd62a065ca0a,64e33adecbf2535df94c0c191d4cd400ecc065e74b4f200aa92a0ab5,449c5b461f1685c5946e27a07ec7ec4e8e7043f3974e9d7681b457b5,ita,SM35,18,71,2:55:28,+31:28
75,1016,acaa3211a808b8767b2aafcba3cbc83c96465168fef06943bff0d377,cf73d03f863dd330a6f0e20e3ddf5742ad65d85d725be021d461063b,449daffe0652ad7eb6433c358c8f86690b07c02c914c70f2ad583ebc,hun,SF,2,4,2:55:37,+31:37
76,211,1eb186a1889544cba671108c6d327599fa7d07bec531ebc258e78893,a722d96579eaa0ee8db142be81b3a8820d5770d5448d96e10ec91935,1b08bd96953f0238e49cd6a662811e797ddfd786d5681e10a4f3e61e,ita,SM40,20,72,2:55:40,+31:40
77,88,9ecbab08e3393a30a6a9fca798b787f45497fdf53436a570ae359f17,960ff6c5acc21b4d1f1a099780d4794bea8695958bef5b65322b8aa6,e93ae106a6be852c450cece674a27c141811e9743f061b25335c608d,ita,SM45,8,73,2:55:46,+31:46
78,1332,d7ad06640a074d3ac5eba271da2ea1dd391ffd10c5e56ef16436af5c,a722d96579eaa0ee8db142be81b3a8820d5770d5448d96e10ec91935,ee3808b948f189a114c3445f3b2877ebb0c173687981097b6d980966,ita,SM35,19,74,2:55:48,+31:48
79,48,f87ef5dd8f4c225d71d7b8330429b53c6ebc98e7aad79b43bc29e558,3e0087a0ed0d544e7b5de86ed682a418af6b8c9de4d03a7ac7a3e253,a4dd46f05945a2726c42df6328bc05517d1521f30dd2e6db3646fc2c,ita,SM,23,75,2:55:50,+31:50
80,43,09ada40d2def4c458751eaf2809d959982fe7b8c6ddd19dc8526a9e6,9c14227a46cd9bd4fcecc4336122308b124817a2b090f848127fc5ea,2abb207a399d51075eebfd1e9631b43f0ac923050fb496784b744266,ita,SM35,20,76,2:55:52,+31:52
81,87,55dbfef8b40ecae83a04af8262edd233d80266588c5888048bd07b8a,4260bf19be6e27da2888ffdd9b4e9c384fbf9dfb48b395e922d6aa20,db0e126b854f635a053a87d1a0cfe9d0643d5dfa740d6a356a077b7e,ita,SM45,9,77,2:56:06,+32:06
82,276,e25f550b852451c659af6b9c1bc5cfb19fe77b4bf2a79cb3926671e8,cd0cc52f689713d951cef6fda21e77b39e1a13d3e5541f8c64ad802e,094801ef295175a1553fea56846a594a0c11f0676e44c9695c31ee41,ita,SM40,21,78,2:56:18,+32:18
83,204,e343c4a53ecd4dec5158f3643eaaefd65063ed6665ccf87edf6fa32b,70bd1e0d0e7b0b00d62d83bfdda6d48e057088300e6483ce2c348914,f87a01a93f0f18082b5701fbb71590483c1de7da25a3fdea008f4183,ita,SM40,22,79,2:56:22,+32:22
84,222,b19d21cd660ee793c5c491ce1c2d596e4e291f8364e8ef6259ca25e0,f0e81b9df312c6f5cdf470695ec833db14f43da3dd276ddbd7217267,3f61880132d07c9e2b51211319aaeda7a3aa139180365ff336ba5c36,ita,SM,24,80,2:57:04,+33:04
85,1005,35fcf8f98b943d1254433507d59ebb04ded491d363810723e26ad89c,552a84328cd4caad0d1591c2f7e194c4d40e064d0fe68614712e1a2d,3f61880132d07c9e2b51211319aaeda7a3aa139180365ff336ba5c36,ita,SF,3,5,2:57:13,+33:13
86,159,d7cba425baa017056315c4758fa0ef1597db9aba689ea8d076edea1a,16c804d3d00a5df256fa27389a88999e5739d19eec117f3607bd464a,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,ita,SM45,10,81,2:57:18,+33:18
87,122,e98cff7b152c20a86d45a92144d629eda1e637a1db46785829a62a99,f3f62173263859d8c76cfe42b4be58e883de7faa187097bafe521366,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,gbr,SM,25,82,2:57:26,+33:26
88,55,a82254986bd734537b7b8e10d4e000d2341c90232c9ed70bb9309317,099bb7dd6d080a9f4a769be4fddb40d7c078a046c02dd7353ba33606,5ab16ddcdfd3f02e61847012b9747d47788da944b1f9f5dfedb7c479,ita,SM50,6,83,2:57:36,+33:36
89,184,10b7d99fdaef0278c7415fe123853130239a10c0b692b0c17efdcbce,dc5ee9ba1054199559bb2446456b28988a42bda3be3a1d3b08240e7a,f4f50018ce8fb83efed592187f3bb973eb733e62506f902e166846c1,gbr,SM35,21,84,2:57:53,+33:53
90,1003,3d7480e650f5282e5b00519835744f771164de74b0dbd1d5e718f6a3,4586f66be35ff53afeb5dcb4442f32be3b5646a353126079d47f3e32,26ecc588a8215374bbe91d6b49326f32454087613f44e432c7f34b58,hun,SF,4,6,2:57:54,+33:54
91,29,c1f657780f87d2e873ac9a10d9df8a3d2718241c606ce2ee78ba35b3,8a096848f62e780e52dd7ac920c712d2ac07b03c23a55b7b2eb0b3f9,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,hun,SM45,11,85,2:57:54,+33:54
92,112,451a9339e94649f7bdc658e134d02297c2b61a50d278a4de156e7c92,01070093e4dd29fff189e0a5ea5125e3f0c14cbce3c44f757c37c835,2ab06034ca1b09e8deec15a4f151765270395c5885ad784b63217d51,ita,SM40,23,86,2:57:59,+33:59
93,94,ee1965a1358e087c2af94d186ff51fa48950bccf693f2c1d866ac84d,607b620a62e4bdea29ee6921dddeed38bae8900d285b21f567247375,beaf8d749845da74a795df5733c23a1563773838a185c77fd153f2f8,ita,SM40,24,87,2:58:03,+34:03
94,98,7d85f47a54d9641dcacea3449565c9fd1fee0e19895e6a66ed55d50a,f4eb522b5b9421a98e6386a4712ada14908c4cc9d0e4f1080f216f3d,7260f91e396e3182faefdd141ae8ac00785bda9e8e1c8da6af37e5d8,ita,SM40,25,88,2:58:17,+34:17
95,111,9c0d087f3977dd2c45d7d2bf8cd561e2a9b4641d7d5acfde96dc1bd5,f0e81b9df312c6f5cdf470695ec833db14f43da3dd276ddbd7217267,89e2b86bab053a39ad5c35969884654dea2661dc6d77ca8ba71ee96e,ita,SM35,22,89,2:58:22,+34:22
96,148,c6a9233c3cebcb420c0c0407ffaf0cf2ede3a1d6a591f89e02f742f3,c083e5752605909b39e49f5957d14a8ba086738396101ac5a3733d00,7783cf0991a76dea6e9d9deb2fe362a648ee7f07c17d18e080a1853b,ita,SM,26,90,2:58:25,+34:25
97,85,afd10f6cdb074b45b3bc56d3eaadc799f2745ba8864d7dc3235f752b,181c1375100173b5ba72e813b2758d00fc17e825bfe02b0fcec5c8e4,fbc00d846e99b53ceda9db6a6f41a6f0c8709f18d3f75e262a76ad30,ita,SM45,12,91,2:58:26,+34:26
98,151,0d05794ac843c8306c30eb7cddd9f36f2c980670b569318585d5a73f,10effe88be0fa165a0fe5159961eb7e701fa6763caa8e5c1a40bf694,a3eb50a6f10c732ce7de83163da4d118b42d4449382fc158c07d3100,ita,SM35,23,92,2:58:28,+34:28
99,105,5425d741f7defa13c723b972716c4548e61b27dfb3cf7e28d14bd528,61b60b0c5602de3927dfd9630a99e8255dd491abf47cdd0296a1a93a,52908526ef27749363091194862bd9dfcf6fe718a963e9e3caa657bd,ita,SM,27,93,2:58:34,+34:34
100,81,e84c6d8a36269d3dc2574306539096f90f334e456d1dfa86f33ab2bc,254134dd37c1b2cf8dc282a3830a0d0c6f000a793916198e6cd9bc12,e56528ac046c3be39813bbd105ad0d62aa74e6621fa77710586d1d68,ita,SM,28,94,2:58:36,+34:36
